TIME_2DSOIL,TIME_PHREEQCRM,DATE,MINERAL_N,DELTA_NITRIFIED_N,DELTA_DENITRIFIED_N
  45292.625000,      54000.00,01/01/2024,     28.04,  0.2092210E-01,  0.0000000E+00
  45292.645000,      55728.00,01/01/2024,     28.08,  0.3853278E-01,  0.0000000E+00
  45292.655833,      56664.00,01/01/2024,     28.10,  0.2077986E-01,  0.0000000E+00
  45292.666667,      57600.00,01/01/2024,     28.12,  0.2073056E-01,  0.0000000E+00
  45292.686667,      59328.00,01/01/2024,     28.16,  0.3818142E-01,  0.0000000E+00
  45292.697500,      60264.00,01/01/2024,     28.18,  0.2059172E-01,  0.0000000E+00
  45292.708333,      61200.00,01/01/2024,     28.20,  0.2054364E-01,  0.0000000E+00
  45292.728333,      62928.00,01/01/2024,     28.24,  0.3783835E-01,  0.0000000E+00
  45292.739167,      63864.00,01/01/2024,     28.26,  0.2040807E-01,  0.0000000E+00
  45292.739300,      63875.56,01/01/2024,     28.27,  0.2513702E-03,  0.0000000E+00
  45292.739434,      63887.11,01/01/2024,     28.27,  0.2513651E-03,  0.0000000E+00
  45292.739568,      63898.67,01/01/2024,     28.26,  0.2513582E-03,  0.0000000E+00
  45292.739702,      63910.22,01/01/2024,     28.26,  0.2513511E-03,  0.0000000E+00
  45292.739835,      63921.78,01/01/2024,     28.26,  0.2513441E-03,  0.0000000E+00
  45292.739969,      63933.33,01/01/2024,     28.26,  0.2513369E-03,  0.0000000E+00
  45292.740103,      63944.89,01/01/2024,     28.26,  0.2513298E-03,  0.0000000E+00
  45292.740277,      63959.89,01/01/2024,     28.26,  0.3262782E-03,  0.0000000E+00
  45292.740450,      63974.89,01/01/2024,     28.26,  0.3262663E-03,  0.0000000E+00
  45292.740678,      63994.54,01/01/2024,     28.26,  0.4272364E-03,  0.0000000E+00
  45292.740969,      64019.71,01/01/2024,     28.27,  0.5473713E-03,  0.0000000E+00
  45292.741260,      64044.88,01/01/2024,     28.27,  0.5473376E-03,  0.0000000E+00
  45292.741640,      64077.71,01/01/2024,     28.27,  0.7138742E-03,  0.0000000E+00
  45292.742132,      64120.20,01/01/2024,     28.27,  0.9237617E-03,  0.0000000E+00
  45292.742624,      64162.69,01/01/2024,     28.27,  0.9236673E-03,  0.0000000E+00
  45292.743191,      64211.71,01/01/2024,     28.27,  0.1065659E-02,  0.0000000E+00
  45292.743759,      64260.74,01/01/2024,     28.27,  0.1065531E-02,  0.0000000E+00
  45292.744383,      64314.66,01/01/2024,     28.27,  0.1171943E-02,  0.0000000E+00
  45292.745007,      64368.59,01/01/2024,     28.27,  0.1171789E-02,  0.0000000E+00
  45292.745631,      64422.52,01/01/2024,     28.27,  0.1171634E-02,  0.0000000E+00
  45292.746311,      64481.30,01/01/2024,     28.28,  0.1277058E-02,  0.0000000E+00
  45292.747011,      64541.75,01/01/2024,     28.28,  0.1312853E-02,  0.0000000E+00
  45292.747717,      64602.78,01/01/2024,     28.28,  0.1325570E-02,  0.0000000E+00
  45292.748430,      64664.39,01/01/2024,     28.28,  0.1337744E-02,  0.0000000E+00
  45292.749157,      64727.20,01/01/2024,     28.28,  0.1363564E-02,  0.0000000E+00
  45292.749579,      64763.60,01/01/2024,     28.28,  0.7902131E-03,  0.0000000E+00
  45292.750000,      64800.00,01/01/2024,     28.28,  0.7901434E-03,  0.0000000E+00
  45292.750743,      64864.19,01/01/2024,     28.28,  0.1393058E-02,  0.0000000E+00
  45292.751497,      64929.37,01/01/2024,     28.29,  0.1414454E-02,  0.0000000E+00
  45292.752255,      64994.85,01/01/2024,     28.29,  0.1420783E-02,  0.0000000E+00
  45292.753021,      65061.05,01/01/2024,     28.29,  0.1435968E-02,  0.0000000E+00
  45292.753794,      65127.83,01/01/2024,     28.29,  0.1448423E-02,  0.0000000E+00
  45292.754567,      65194.61,01/01/2024,     28.29,  0.1448187E-02,  0.0000000E+00
  45292.755353,      65262.47,01/01/2024,     28.29,  0.1471472E-02,  0.0000000E+00
  45292.756142,      65330.68,01/01/2024,     28.29,  0.1478672E-02,  0.0000000E+00
  45292.756932,      65398.88,01/01/2024,     28.30,  0.1478425E-02,  0.0000000E+00
  45292.757721,      65467.09,01/01/2024,     28.30,  0.1478182E-02,  0.0000000E+00
  45292.758521,      65536.17,01/01/2024,     28.30,  0.1496864E-02,  0.0000000E+00
  45292.759324,      65605.63,01/01/2024,     28.30,  0.1504727E-02,  0.0000000E+00
  45292.760132,      65675.43,01/01/2024,     28.30,  0.1511973E-02,  0.0000000E+00
  45292.760941,      65745.29,01/01/2024,     28.30,  0.1513000E-02,  0.0000000E+00
  45292.761749,      65815.15,01/01/2024,     28.31,  0.1512743E-02,  0.0000000E+00
  45292.762558,      65885.01,01/01/2024,     28.31,  0.1512484E-02,  0.0000000E+00
  45292.763379,      65955.93,01/01/2024,     28.31,  0.1535045E-02,  0.0000000E+00
  45292.764202,      66027.07,01/01/2024,     28.31,  0.1539847E-02,  0.0000000E+00
  45292.765028,      66098.44,01/01/2024,     28.31,  0.1544264E-02,  0.0000000E+00
  45292.765857,      66170.02,01/01/2024,     28.31,  0.1548573E-02,  0.0000000E+00
  45292.766686,      66241.69,01/01/2024,     28.31,  0.1550334E-02,  0.0000000E+00
  45292.767516,      66313.42,01/01/2024,     28.32,  0.1551451E-02,  0.0000000E+00
  45292.768349,      66385.34,01/01/2024,     28.32,  0.1555239E-02,  0.0000000E+00
  45292.769182,      66457.30,01/01/2024,     28.32,  0.1555605E-02,  0.0000000E+00
  45292.770014,      66529.25,01/01/2024,     28.32,  0.1555336E-02,  0.0000000E+00
  45292.770847,      66601.20,01/01/2024,     28.32,  0.1555062E-02,  0.0000000E+00
  45292.771680,      66673.15,01/01/2024,     28.32,  0.1554793E-02,  0.0000000E+00
  45292.772513,      66745.10,01/01/2024,     28.33,  0.1554520E-02,  0.0000000E+00
  45292.773346,      66817.06,01/01/2024,     28.33,  0.1554253E-02,  0.0000000E+00
  45292.774178,      66889.01,01/01/2024,     28.33,  0.1553979E-02,  0.0000000E+00
  45292.775011,      66960.96,01/01/2024,     28.33,  0.1553709E-02,  0.0000000E+00
  45292.775844,      67032.91,01/01/2024,     28.33,  0.1553440E-02,  0.0000000E+00
  45292.776677,      67104.86,01/01/2024,     28.33,  0.1553171E-02,  0.0000000E+00
  45292.777509,      67176.82,01/01/2024,     28.34,  0.1552900E-02,  0.0000000E+00
  45292.778342,      67248.77,01/01/2024,     28.34,  0.1552630E-02,  0.0000000E+00
  45292.779175,      67320.72,01/01/2024,     28.34,  0.1552361E-02,  0.0000000E+00
  45292.780008,      67392.67,01/01/2024,     28.34,  0.1552091E-02,  0.0000000E+00
  45292.780841,      67464.62,01/01/2024,     28.34,  0.1551820E-02,  0.0000000E+00
  45292.781673,      67536.58,01/01/2024,     28.34,  0.1551552E-02,  0.0000000E+00
  45292.782506,      67608.53,01/01/2024,     28.35,  0.1551283E-02,  0.0000000E+00
  45292.783339,      67680.48,01/01/2024,     28.35,  0.1551010E-02,  0.0000000E+00
  45292.784172,      67752.43,01/01/2024,     28.35,  0.1550745E-02,  0.0000000E+00
  45292.785004,      67824.38,01/01/2024,     28.35,  0.1550474E-02,  0.0000000E+00
  45292.785837,      67896.34,01/01/2024,     28.35,  0.1550207E-02,  0.0000000E+00
  45292.786670,      67968.29,01/01/2024,     28.35,  0.1549936E-02,  0.0000000E+00
  45292.787503,      68040.24,01/01/2024,     28.35,  0.1549665E-02,  0.0000000E+00
  45292.788336,      68112.19,01/01/2024,     28.36,  0.1549399E-02,  0.0000000E+00
  45292.789168,      68184.14,01/01/2024,     28.36,  0.1549130E-02,  0.0000000E+00
  45292.790001,      68256.10,01/01/2024,     28.36,  0.1548862E-02,  0.0000000E+00
  45292.790834,      68328.05,01/01/2024,     28.36,  0.1548596E-02,  0.0000000E+00
  45292.791667,      68400.00,01/01/2024,     28.36,  0.1548324E-02,  0.0000000E+00
  45292.792528,      68474.43,01/01/2024,     28.36,  0.1601374E-02,  0.0000000E+00
  45292.793390,      68548.90,01/01/2024,     28.37,  0.1602029E-02,  0.0000000E+00
  45292.794253,      68623.42,01/01/2024,     28.37,  0.1602608E-02,  0.0000000E+00
  45292.795115,      68697.97,01/01/2024,     28.37,  0.1603141E-02,  0.0000000E+00
  45292.795979,      68772.56,01/01/2024,     28.37,  0.1603647E-02,  0.0000000E+00
  45292.796842,      68847.18,01/01/2024,     28.37,  0.1604106E-02,  0.0000000E+00
  45292.797706,      68921.84,01/01/2024,     28.37,  0.1604536E-02,  0.0000000E+00
  45292.798571,      68996.53,01/01/2024,     28.38,  0.1604927E-02,  0.0000000E+00
  45292.799435,      69071.22,01/01/2024,     28.38,  0.1604607E-02,  0.0000000E+00
  45292.800300,      69145.94,01/01/2024,     28.38,  0.1605026E-02,  0.0000000E+00
  45292.801166,      69220.71,01/01/2024,     28.38,  0.1605969E-02,  0.0000000E+00
  45292.802031,      69295.51,01/01/2024,     28.38,  0.1606160E-02,  0.0000000E+00
  45292.802897,      69370.34,01/01/2024,     28.38,  0.1606415E-02,  0.0000000E+00
  45292.803763,      69445.16,01/01/2024,     28.39,  0.1606102E-02,  0.0000000E+00
  45292.804630,      69520.04,01/01/2024,     28.39,  0.1606927E-02,  0.0000000E+00
  45292.805497,      69594.93,01/01/2024,     28.39,  0.1607040E-02,  0.0000000E+00
  45292.806364,      69669.82,01/01/2024,     28.39,  0.1606724E-02,  0.0000000E+00
  45292.807231,      69744.76,01/01/2024,     28.39,  0.1607413E-02,  0.0000000E+00
  45292.808099,      69819.72,01/01/2024,     28.39,  0.1607479E-02,  0.0000000E+00
  45292.808966,      69894.69,01/01/2024,     28.40,  0.1607587E-02,  0.0000000E+00
  45292.809834,      69969.68,01/01/2024,     28.40,  0.1607687E-02,  0.0000000E+00
  45292.810702,      70044.69,01/01/2024,     28.40,  0.1607771E-02,  0.0000000E+00
  45292.811571,      70119.72,01/01/2024,     28.40,  0.1607835E-02,  0.0000000E+00
  45292.812439,      70194.76,01/01/2024,     28.40,  0.1607886E-02,  0.0000000E+00
  45292.813308,      70269.81,01/01/2024,     28.40,  0.1607935E-02,  0.0000000E+00
  45292.814177,      70344.89,01/01/2024,     28.40,  0.1607961E-02,  0.0000000E+00
  45292.815046,      70419.97,01/01/2024,     28.41,  0.1607978E-02,  0.0000000E+00
  45292.815915,      70495.07,01/01/2024,     28.41,  0.1607988E-02,  0.0000000E+00
  45292.816785,      70570.18,01/01/2024,     28.41,  0.1608000E-02,  0.0000000E+00
  45292.817654,      70645.31,01/01/2024,     28.41,  0.1607999E-02,  0.0000000E+00
  45292.818524,      70720.45,01/01/2024,     28.41,  0.1608006E-02,  0.0000000E+00
  45292.819394,      70795.61,01/01/2024,     28.41,  0.1608000E-02,  0.0000000E+00
  45292.820264,      70870.77,01/01/2024,     28.42,  0.1608016E-02,  0.0000000E+00
  45292.821134,      70945.96,01/01/2024,     28.42,  0.1608021E-02,  0.0000000E+00
  45292.822004,      71021.15,01/01/2024,     28.42,  0.1608023E-02,  0.0000000E+00
  45292.822875,      71096.36,01/01/2024,     28.42,  0.1608023E-02,  0.0000000E+00
  45292.823745,      71171.58,01/01/2024,     28.42,  0.1608036E-02,  0.0000000E+00
  45292.824616,      71246.82,01/01/2024,     28.42,  0.1608047E-02,  0.0000000E+00
  45292.825487,      71322.07,01/01/2024,     28.43,  0.1608085E-02,  0.0000000E+00
  45292.826358,      71397.34,01/01/2024,     28.43,  0.1608052E-02,  0.0000000E+00
  45292.827223,      71472.09,01/01/2024,     28.43,  0.1596790E-02,  0.0000000E+00
  45292.828076,      71545.79,01/01/2024,     28.43,  0.1574133E-02,  0.0000000E+00
  45292.828918,      71618.53,01/01/2024,     28.43,  0.1553352E-02,  0.0000000E+00
  45292.829750,      71690.37,01/01/2024,     28.43,  0.1533738E-02,  0.0000000E+00
  45292.830571,      71761.36,01/01/2024,     28.44,  0.1515568E-02,  0.0000000E+00
  45292.831384,      71831.57,01/01/2024,     28.44,  0.1498334E-02,  0.0000000E+00
  45292.832188,      71901.03,01/01/2024,     28.44,  0.1482346E-02,  0.0000000E+00
  45292.832761,      71950.51,01/01/2024,     28.44,  0.1055827E-02,  0.0000000E+00
  45292.833333,      72000.00,01/01/2024,     28.44,  0.1055705E-02,  0.0000000E+00
  45292.834118,      72067.77,01/01/2024,     28.44,  0.1445673E-02,  0.0000000E+00
  45292.834899,      72135.26,01/01/2024,     28.44,  0.1439264E-02,  0.0000000E+00
  45292.835682,      72202.92,01/01/2024,     28.45,  0.1442854E-02,  0.0000000E+00
