TIME_2DSOIL,TIME_PHREEQCRM,DATE,MINERAL_N,DELTA_NITRIFIED_N,DELTA_DENITRIFIED_N
  45292.625000,      54000.00,01/01/2024,     27.04,  0.2092210E-01,  0.1626030E-01
  45292.645000,      55728.00,01/01/2024,     27.05,  0.3853255E-01,  0.3000699E-01
  45292.655833,      56664.00,01/01/2024,     27.05,  0.2077982E-01,  0.1624480E-01
  45292.666667,      57600.00,01/01/2024,     27.06,  0.2073056E-01,  0.1623959E-01
  45292.686667,      59328.00,01/01/2024,     27.07,  0.3818099E-01,  0.2996825E-01
  45292.697500,      60264.00,01/01/2024,     27.07,  0.2059165E-01,  0.1622411E-01
  45292.708333,      61200.00,01/01/2024,     27.07,  0.2054364E-01,  0.1621908E-01
  45292.728333,      62928.00,01/01/2024,     27.08,  0.3783790E-01,  0.2993057E-01
  45292.739167,      63864.00,01/01/2024,     27.08,  0.2040799E-01,  0.1620374E-01
  45292.739300,      63875.56,01/01/2024,     27.09,  0.2513703E-03,  0.2000135E-03
  45292.739434,      63887.11,01/01/2024,     27.09,  0.2513652E-03,  0.2000202E-03
  45292.739568,      63898.67,01/01/2024,     27.08,  0.2513583E-03,  0.1999956E-03
  45292.739702,      63910.22,01/01/2024,     27.08,  0.2513512E-03,  0.1999828E-03
  45292.739835,      63921.78,01/01/2024,     27.08,  0.2513442E-03,  0.1999835E-03
  45292.739969,      63933.33,01/01/2024,     27.08,  0.2513370E-03,  0.1999781E-03
  45292.740103,      63944.89,01/01/2024,     27.08,  0.2513299E-03,  0.1999727E-03
  45292.740277,      63959.89,01/01/2024,     27.08,  0.3262784E-03,  0.2596113E-03
  45292.740450,      63974.89,01/01/2024,     27.08,  0.3262664E-03,  0.2596108E-03
  45292.740678,      63994.54,01/01/2024,     27.08,  0.4272365E-03,  0.3399591E-03
  45292.740969,      64019.71,01/01/2024,     27.08,  0.5473716E-03,  0.4355671E-03
  45292.741260,      64044.88,01/01/2024,     27.08,  0.5473379E-03,  0.4355762E-03
  45292.741640,      64077.71,01/01/2024,     27.08,  0.7138745E-03,  0.5681532E-03
  45292.742132,      64120.20,01/01/2024,     27.08,  0.9237622E-03,  0.7352377E-03
  45292.742624,      64162.69,01/01/2024,     27.08,  0.9236677E-03,  0.7352185E-03
  45292.743191,      64211.71,01/01/2024,     27.08,  0.1065659E-02,  0.8483059E-03
  45292.743759,      64260.74,01/01/2024,     27.08,  0.1065531E-02,  0.8482794E-03
  45292.744383,      64314.66,01/01/2024,     27.08,  0.1171944E-02,  0.9330519E-03
  45292.745007,      64368.59,01/01/2024,     27.08,  0.1171789E-02,  0.9328338E-03
  45292.745631,      64422.52,01/01/2024,     27.09,  0.1171635E-02,  0.9321628E-03
  45292.746311,      64481.30,01/01/2024,     27.09,  0.1277058E-02,  0.1014360E-02
  45292.747011,      64541.75,01/01/2024,     27.09,  0.1312854E-02,  0.1039270E-02
  45292.747717,      64602.78,01/01/2024,     27.09,  0.1325570E-02,  0.1042981E-02
  45292.748430,      64664.39,01/01/2024,     27.09,  0.1337745E-02,  0.1043410E-02
  45292.749157,      64727.20,01/01/2024,     27.09,  0.1363564E-02,  0.1051970E-02
  45292.749579,      64763.60,01/01/2024,     27.09,  0.7902135E-03,  0.6055569E-03
  45292.750000,      64800.00,01/01/2024,     27.09,  0.7901437E-03,  0.6011604E-03
  45292.750743,      64864.19,01/01/2024,     27.09,  0.1393058E-02,  0.1045440E-02
  45292.751497,      64929.37,01/01/2024,     27.09,  0.1414455E-02,  0.1046620E-02
  45292.752255,      64994.85,01/01/2024,     27.09,  0.1420783E-02,  0.1036263E-02
  45292.753021,      65061.05,01/01/2024,     27.09,  0.1435969E-02,  0.1032266E-02
  45292.753794,      65127.83,01/01/2024,     27.09,  0.1448423E-02,  0.1026284E-02
  45292.754567,      65194.61,01/01/2024,     27.09,  0.1448188E-02,  0.1011758E-02
  45292.755353,      65262.47,01/01/2024,     27.09,  0.1471472E-02,  0.1013665E-02
  45292.756142,      65330.68,01/01/2024,     27.09,  0.1478673E-02,  0.1004746E-02
  45292.756932,      65398.88,01/01/2024,     27.09,  0.1478426E-02,  0.9914249E-03
  45292.757721,      65467.09,01/01/2024,     27.09,  0.1478183E-02,  0.9788197E-03
  45292.758521,      65536.17,01/01/2024,     27.09,  0.1496865E-02,  0.9791770E-03
  45292.759324,      65605.63,01/01/2024,     27.09,  0.1504727E-02,  0.9729121E-03
  45292.760132,      65675.43,01/01/2024,     27.09,  0.1511974E-02,  0.9667939E-03
  45292.760941,      65745.29,01/01/2024,     27.09,  0.1513001E-02,  0.9572549E-03
  45292.761749,      65815.15,01/01/2024,     27.09,  0.1512744E-02,  0.9474872E-03
  45292.762558,      65885.01,01/01/2024,     27.09,  0.1512485E-02,  0.9382755E-03
